particle_id,time_s,x_m,y_m,path_m,solver,abstol,reltol,gating
1001,7.65000000000000000e+04,9.23541144842488575e+04,5.71899769862571120e+04,1.26696723774371494e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.74000000000000000e+04,9.25084505156806263e+04,5.71545690457363744e+04,1.28280179894699049e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.83000000000000000e+04,9.26629961929432902e+04,5.71191069525472340e+04,1.29865800480272119e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.92000000000000000e+04,9.28177515330999740e+04,5.70835907230018420e+04,1.31453585663101712e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.01000000000000000e+04,9.29727165532144427e+04,5.70480203734145252e+04,1.33043535575169444e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.10000000000000000e+04,9.31278912703509559e+04,5.70123959201018006e+04,1.34635650348426298e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.19000000000000000e+04,9.32832757015743409e+04,5.69767173793823458e+04,1.36229930114793697e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.28000000000000000e+04,9.34388698639499926e+04,5.69409847675770361e+04,1.37826375006163562e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.37000000000000000e+04,9.35946737745438295e+04,5.69051981010089148e+04,1.39424985154398273e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.46000000000000000e+04,9.37506874504223233e+04,5.68693573960032227e+04,1.41025760691331070e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.55000000000000000e+04,9.39069109086525277e+04,5.68334626688873686e+04,1.42628701748766616e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.64000000000000000e+04,9.40633441663020203e+04,5.67975139359909372e+04,1.44233808458480689e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,0.00000000000000000e+00,2.00000000000000000e+05,1.50000000000000000e+05,0.00000000000000000e+00,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,9.00000000000000000e+02,2.00141453076227685e+05,1.49983570607198373e+05,1.42403994754730348e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1002,1.80000000000000000e+03,2.00283114116931305e+05,1.49967086703385896e+05,2.85020857495893779e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
